variable,label,dtype,n_unique,n_missing,pct_missing,value_labels,missing_codes
CNCEXC_W119,"CNCEXC_W119. Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…",float64,4,0,0.0,"{1.0: 'More excited than concerned', 2.0: 'More concerned than excited', 3.0: 'Equally concerned and excited', 99.0: 'Refused'}",99.0=Refused
USEAI_W119,"USEAI_W119. Just your impression, how often do you interact with artificial intelligence (AI)?",float64,6,0,0.0,"{1.0: 'Almost constantly', 2.0: 'Several times a day', 3.0: 'About once a day', 4.0: 'Several times a week', 5.0: 'Less often', 99.0: 'Refused'}",99.0=Refused
AIKNOW1_W119,"AIKNOW1_W119. We are interested in what people know off the top of their head about artificial intelligence (AI). You may find some of these questions easy and others difficult. (If you don’t know the answer, select “Not sure.”) Thinking about customer ser",float64,6,0,0.0,"{1.0: 'A chatbot that immediately answers customer questions', 2.0: 'An online survey sent to customers that allows them to provide feedback', 3.0: 'A contact page with a form available to customers t...",9.0=Not sure; 99.0=Refused
AIKNOW2_W119,"AIKNOW2_W119. When playing music, which of the following uses artificial intelligence (AI)?",float64,6,0,0.0,"{1.0: 'Using Bluetooth to connect to wireless speakers', 2.0: 'A playlist recommendation', 3.0: 'A wireless internet connection to stream the music', 4.0: 'Shuffle play from a chosen playlist', 9.0: '...",9.0=Not sure; 99.0=Refused
AIKNOW3_W119,"AIKNOW3_W119. When using email, which of the following uses artificial intelligence (AI)?",float64,6,0,0.0,"{1.0: 'The email service marking an email as read after the user opens it', 2.0: 'The email service allowing the user to schedule an email to send at a specific time in the future', 3.0: 'The email se...",9.0=Not sure; 99.0=Refused
AIKNOW5_W119,"AIKNOW5_W119. Thinking about health products, which of the following uses artificial intelligence (AI)?",float64,6,0,0.0,"{1.0: 'Wearable fitness trackers that analyze exercise and sleeping patterns', 2.0: 'Thermometers that are placed under someone’s tongue to detect a fever', 3.0: 'At-home COVID-19 tests', 4.0: 'Pulse ...",9.0=Not sure; 99.0=Refused
AIKNOW6_W119,"AIKNOW6_W119. Thinking about online shopping, which of the following uses artificial intelligence (AI)?",float64,6,0,0.0,"{1.0: 'Storage of account information, such as shipping addresses', 2.0: 'Records of previous purchases', 3.0: 'Product recommendations based on previous purchases', 4.0: 'Product reviews from other c...",9.0=Not sure; 99.0=Refused
AIKNOW7_W119,"AIKNOW7_W119. Thinking about devices in the home, which of the following uses artificial intelligence (AI)?",float64,6,0,0.0,"{1.0: 'Programming a home thermostat to change temperatures at certain times', 2.0: 'A security camera that sends an alert when there is an unrecognized person at the door', 3.0: 'Programming a timer ...",9.0=Not sure; 99.0=Refused
AIKNOW1_CORRECT_W119,Answered AIKNOW1 correctly,float64,2,0,0.0,"{0.0: 'no', 1.0: 'yes'}",
AIKNOW2_CORRECT_W119,Answered AIKNOW2 correctly,float64,2,0,0.0,"{0.0: 'no', 1.0: 'yes'}",
AIKNOW3_CORRECT_W119,Answered AIKNOW3 correctly,float64,2,0,0.0,"{0.0: 'no', 1.0: 'yes'}",
AIKNOW5_CORRECT_W119,Answered AIKNOW5 correctly,float64,2,0,0.0,"{0.0: 'no', 1.0: 'yes'}",
AIKNOW6_CORRECT_W119,Answered AIKNOW6 correctly,float64,2,0,0.0,"{0.0: 'no', 1.0: 'yes'}",
AIKNOW7_CORRECT_W119,Answered AIKNOW7 correctly,float64,2,0,0.0,"{0.0: 'no', 1.0: 'yes'}",
AIKNOW_INDEX_W119,Total number of correct AI knowledge answers 0 to 6,float64,7,0,0.0,,
AIHCCOMF_W119,AIHCCOMF_W119. Thinking about the use of artificial intelligence (AI) in health and medicine to do things like diagnose disease and recommend treatments… How would you feel if your health care provider relied on AI to do things like diagnose disease and re,float64,5,0,0.0,"{1.0: 'Very comfortable', 2.0: 'Somewhat comfortable', 3.0: 'Somewhat uncomfortable', 4.0: 'Very uncomfortable', 99.0: 'Refused'}",99.0=Refused
AIHCTRT1_W119,AIHCTRT1_W119. Do you think the use of artificial intelligence (AI) in health and medicine to do things like diagnose disease and recommend treatments would lead to…,float64,4,0,0.0,"{1.0: 'Better health outcomes for patients', 2.0: 'Worse health outcomes for patients', 3.0: 'Not make much difference', 99.0: 'Refused'}",99.0=Refused
AIHCTRT2_W119,"AIHCTRT2_W119. Thinking about the use of artificial intelligence (AI) in health and medicine to do things like diagnose disease and recommend treatments, which of the following concerns you more? Health care providers will…",float64,3,0,0.0,"{1.0: 'Move too fast using this technology, before fully understanding the risks for patients', 2.0: 'Move too slowly using this technology, missing opportunities to improve patients’ health', 99.0: '...",99.0=Refused
MEDBIAS_W119,"MEDBIAS_W119. In health and medicine, how much of a problem is bias and unfair treatment based on patients’ race or ethnicity?",float64,4,0,0.0,"{1.0: 'A major problem', 2.0: 'A minor problem', 3.0: 'Not a problem', 99.0: 'Refused'}",99.0=Refused
AIHCCHG_QUAL_W119,"AIHCCHG_QUAL_W119. Do you think the use of artificial intelligence (AI) in health and medicine to do things like diagnose diseases and recommend treatments would make each of the following better, worse, or not make much difference?    The quality of healt",float64,4,0,0.0,"{1.0: 'Better', 2.0: 'Worse', 3.0: 'Not make much difference', 99.0: 'Refused'}",99.0=Refused
AIHCCHG_MIST_W119,"AIHCCHG_MIST_W119. Do you think the use of artificial intelligence (AI) in health and medicine to do things like diagnose diseases and recommend treatments would make each of the following better, worse, or not make much difference?    The number of mistak",float64,4,0,0.0,"{1.0: 'Better', 2.0: 'Worse', 3.0: 'Not make much difference', 99.0: 'Refused'}",99.0=Refused
AIHCCHG_REL_W119,"AIHCCHG_REL_W119. Do you think the use of artificial intelligence (AI) in health and medicine to do things like diagnose diseases and recommend treatments would make each of the following better, worse, or not make much difference?    Patients’ personal re",float64,4,0,0.0,"{1.0: 'Better', 2.0: 'Worse', 3.0: 'Not make much difference', 99.0: 'Refused'}",99.0=Refused
AIHCCHG_RACETHN_W119,"AIHCCHG_RACETHN_W119. Do you think the use of artificial intelligence (AI) in health and medicine to do things like diagnose diseases and recommend treatments would make each of the following better, worse, or not make much difference?    The job that heal",float64,4,0,0.0,"{1.0: 'Better', 2.0: 'Worse', 3.0: 'Not make much difference', 99.0: 'Refused'}",99.0=Refused
AIHCCHG_SECUR_W119,"AIHCCHG_SECUR_W119. Do you think the use of artificial intelligence (AI) in health and medicine to do things like diagnose diseases and recommend treatments would make each of the following better, worse, or not make much difference?    The security of pat",float64,4,0,0.0,"{1.0: 'Better', 2.0: 'Worse', 3.0: 'Not make much difference', 99.0: 'Refused'}",99.0=Refused
HCMEDBIAS_W119,HCMEDBIAS_W119. Thinking about the potential for bias and unfair treatment in health and medicine based on a patient’s race or ethnicity … If artificial intelligence (AI) is used more in health and medicine to do things like diagnose disease and recommend,float64,6,0,0.0,"{1.0: 'Definitely get better', 2.0: 'Probably get better', 3.0: 'Stay about the same', 4.0: 'Probably get worse', 5.0: 'Definitely get worse', 99.0: 'Refused'}",99.0=Refused
BIASBETR_OE1_W119,"BIASBETR_OE1_W119. Coded open-end responses to BIASBETR, first mention",float64,9,8473,77.0,"{10.0: 'Human bias/prejudice not involved; AI is neutral/consistent', 20.0: ""AI is not biased towards a patient's characteristics"", 30.0: ""AI can make more accurate decisions, including based on a per...",98.0=Don't know; 99.0=No answer
BIASBETR_OE2_W119,"BIASBETR_OE2_W119. Coded open-end responses to BIASBETR, second mention",float64,6,10721,97.43,"{10.0: 'Human bias/prejudice not involved; AI is neutral/consistent', 20.0: ""AI is not biased towards a patient's characteristics"", 30.0: ""AI can make more accurate decisions, including based on a per...",98.0=Don't know; 99.0=No answer
BIASBETR_OE3_W119,"BIASBETR_OE3_W119. Coded open-end responses to BIASBETR, third mention",float64,4,10994,99.91,"{10.0: 'Human bias/prejudice not involved; AI is neutral/consistent', 20.0: ""AI is not biased towards a patient's characteristics"", 30.0: ""AI can make more accurate decisions, including based on a per...",98.0=Don't know; 99.0=No answer
BIASBETR_REFUSED_W119,BIASBETR_W119 Refused,float64,3,0,0.0,"{0.0: 'Not asked', 1.0: 'Did not refuse', 99.0: 'Refused'}",99.0=Refused
BIASWORS_OE1_W119,"BIASWORS_OE1_W119. Coded open-end responses to BIASWORS, first mention",float64,15,10321,93.79,"{10.0: 'Human judgment is needed in medicine', 20.0: 'AI reflects human biases', 23.0: 'Medical providers would use AI to reinforce their own biases/might not be aware of biases', 24.0: 'Data entry, m...",98.0=Don't know; 99.0=No answer
BIASWORS_OE2_W119,"BIASWORS_OE2_W119. Coded open-end responses to BIASWORS, second mention",float64,8,10983,99.81,"{10.0: 'Human judgment is needed in medicine', 20.0: 'AI reflects human biases', 23.0: 'Medical providers would use AI to reinforce their own biases/might not be aware of biases', 24.0: 'Data entry, m...",98.0=Don't know; 99.0=No answer
BIASWORS_OE3_W119,"BIASWORS_OE3_W119. Coded open-end responses to BIASWORS, third mention",float64,0,11004,100.0,"{10.0: 'Human judgment is needed in medicine', 20.0: 'AI reflects human biases', 23.0: 'Medical providers would use AI to reinforce their own biases/might not be aware of biases', 24.0: 'Data entry, m...",98.0=Don't know; 99.0=No answer
BIASWORS_REFUSED_W119,BIASWORS_W119 Refused,float64,3,0,0.0,"{0.0: 'Not asked', 1.0: 'Did not refuse', 99.0: 'Refused'}",99.0=Refused
BIASSAME_OE1_W119,"BIASSAME_OE1_W119. Coded open-end responses to BIASSAME, first mention",float64,15,8809,80.05,"{10.0: ""Racial bias is not a problem, doesn't exist or race isn't relevant to healthcare at all"", 15.0: 'Individual bias is possible, but good doctors are not biased', 16.0: 'AI is unbiased, will affe...",98.0=Don't know; 99.0=No answer
BIASSAME_OE2_W119,"BIASSAME_OE2_W119. Coded open-end responses to BIASSAME, second mention",float64,8,10943,99.45,"{10.0: ""Racial bias is not a problem, doesn't exist or race isn't relevant to healthcare at all"", 15.0: 'Individual bias is possible, but good doctors are not biased', 16.0: 'AI is unbiased, will affe...",98.0=Don't know; 99.0=No answer
BIASSAME_OE3_W119,"BIASSAME_OE3_W119. Coded open-end responses to BIASSAME, third mention",float64,2,11002,99.98,"{10.0: ""Racial bias is not a problem, doesn't exist or race isn't relevant to healthcare at all"", 15.0: 'Individual bias is possible, but good doctors are not biased', 16.0: 'AI is unbiased, will affe...",98.0=Don't know; 99.0=No answer
BIASSAME_REFUSED_W119,BIASSAME_W119 Refused,float64,3,0,0.0,"{0.0: 'Not asked', 1.0: 'Did not refuse', 99.0: 'Refused'}",99.0=Refused
SCDETECT1_W119,SCDETECT1_W119. Artificial intelligence (AI) can be used to review large numbers of images of people’s skin with and without skin cancer and learn to identify patterns; it is designed to detect skin cancer in patients. How much have you heard or read about,float64,4,5493,49.92,"{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}",99.0=Refused
SCDETECT2_W119,SCDETECT2_W119. How much of an advance for medical care is artificial intelligence (AI) that can detect skin cancer?,float64,5,5493,49.92,"{1.0: 'A major advance', 2.0: 'A minor advance', 3.0: 'Not an advance', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
SCDETECT3_W119,"SCDETECT3_W119. Would you personally want artificial intelligence (AI) to be used in your screening for skin cancer, if you were getting screened?",float64,5,5493,49.92,"{1.0: 'Definitely want', 2.0: 'Probably want', 3.0: 'Probably NOT want', 4.0: 'Definitely NOT want', 99.0: 'Refused'}",99.0=Refused
SCDETECT4_W119,SCDETECT4_W119. Do you think artificial intelligence (AI) would make skin cancer diagnoses…,float64,4,5493,49.92,"{1.0: 'More accurate', 2.0: 'Less accurate', 3.0: 'Not make much difference', 99.0: 'Refused'}",99.0=Refused
AIMH1_W119,"AIMH1_W119. There are artificial intelligence (AI) chatbots in which people text AI programs about their feelings or concerns and the chatbot responds, without the involvement of a human. These chatbots are designed to support a person’s mental health. How",float64,4,5493,49.92,"{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}",99.0=Refused
AIMH2_W119,AIMH2_W119. How much of an advance for mental health support are artificial intelligence (AI) chatbots?,float64,5,5493,49.92,"{1.0: 'A major advance', 2.0: 'A minor advance', 3.0: 'Not an advance', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIMH3_W119,"AIMH3_W119. Would you personally want to use an artificial intelligence (AI) chatbot, if you were seeking mental health support?",float64,5,5493,49.92,"{1.0: 'Definitely want', 2.0: 'Probably want', 3.0: 'Probably NOT want', 4.0: 'Definitely NOT want', 99.0: 'Refused'}",99.0=Refused
AIMH5_W119,AIMH5_W119. Do you think artificial intelligence (AI) chatbots that can provide mental health support should be…,float64,4,5493,49.92,"{1.0: 'Only used by people that are also seeing a human therapist', 2.0: 'Used by people regardless of whether they are also seeing a human therapist', 3.0: 'These should not be available to people at...",99.0=Refused
AIPAIN1_W119,AIPAIN1_W119. Artificial intelligence (AI) can be used to help decide the amount of pain medication patients get following a major surgery. These programs are designed to limit the abuse of pain medications. How much have you heard or read about using AI t,float64,4,5511,50.08,"{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}",99.0=Refused
AIPAIN2_W119,AIPAIN2_W119. How much of an advance for medical care is artificial intelligence (AI) that can help decide the amount of pain medication patients get?,float64,5,5511,50.08,"{1.0: 'A major advance', 2.0: 'A minor advance', 3.0: 'Not an advance', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIPAIN3_W119,"AIPAIN3_W119. Would you personally want artificial intelligence (AI) to help decide the amount of pain medication you get, if you were getting surgery?",float64,5,5511,50.08,"{1.0: 'Definitely want', 2.0: 'Probably want', 3.0: 'Probably NOT want', 4.0: 'Definitely NOT want', 99.0: 'Refused'}",99.0=Refused
AIPAIN4_W119,AIPAIN4_W119. Do you think artificial intelligence (AI) would make patients’ treatment for pain…,float64,4,5511,50.08,"{1.0: 'Better', 2.0: 'Worse', 3.0: 'Not make much difference', 99.0: 'Refused'}",99.0=Refused
SROBOT1_W119,SROBOT1_W119. Robots with artificial intelligence (AI) are being developed that can be used to perform parts of surgery on their own. These robots are designed to make precise and steady movements during surgery. How much have you heard or read about surgi,float64,4,5511,50.08,"{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}",99.0=Refused
SROBOT2_W119,SROBOT2_W119. How much of an advance for medical care are surgical robots with artificial intelligence (AI) that can perform parts of surgery on their own?,float64,5,5511,50.08,"{1.0: 'A major advance', 2.0: 'A minor advance', 3.0: 'Not an advance', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
SROBOT3_W119,"SROBOT3_W119. Would you personally want surgical robots with artificial intelligence (AI) to be used, if you were getting surgery?",float64,5,5511,50.08,"{1.0: 'Definitely want', 2.0: 'Probably want', 3.0: 'Probably NOT want', 4.0: 'Definitely NOT want', 99.0: 'Refused'}",99.0=Refused
AIPROT1_W119,AIPROT1_W119. Artificial intelligence (AI) can be used in biology to predict protein structures in cells. This can help develop new medical treatments. How much have you heard or read about using AI to predict protein structures in people’s cells?,float64,4,5493,49.92,"{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}",99.0=Refused
AIPROT2_W119,AIPROT2_W119. How much of an advance for medical research is using artificial intelligence (AI) to predict protein structures in people’s cells?,float64,5,5493,49.92,"{1.0: 'A major advance', 2.0: 'A minor advance', 3.0: 'Not an advance', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AICROP1_W119,AICROP1_W119. Artificial intelligence (AI) can be used to recommend which varieties of plants to breed in order to produce crops that can withstand drought and heat. How much have you heard or read about using AI to produce drought and heat-resistant crops,float64,4,5493,49.92,"{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}",99.0=Refused
AICROP2_W119,AICROP2_W119. How much of an advance for agriculture is using artificial intelligence (AI) to produce drought and heat-resistant crops?,float64,5,5493,49.92,"{1.0: 'A major advance', 2.0: 'A minor advance', 3.0: 'Not an advance', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIEXT1_W119,AIEXT1_W119. Artificial intelligence (AI) can be used to predict when and where extreme weather like heavy rainfall or storms is likely to occur. How much have you heard or read about using AI to predict when and where extreme weather is likely to occur?,float64,4,5511,50.08,"{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}",99.0=Refused
AIEXT2_W119,AIEXT2_W119. How much of an advance for weather forecasting is using artificial intelligence (AI) to predict when and where extreme weather is likely to occur?,float64,5,5511,50.08,"{1.0: 'A major advance', 2.0: 'A minor advance', 3.0: 'Not an advance', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AINEWS1_W119,AINEWS1_W119. Artificial intelligence (AI) can be used to write articles that report on news events and information. How much have you heard or read about using AI to write news articles?,float64,4,5493,49.92,"{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}",99.0=Refused
AINEWS2_W119,AINEWS2_W119. How much of an advance for the news media is using artificial intelligence (AI) to write news articles?,float64,5,5493,49.92,"{1.0: 'A major advance', 2.0: 'A minor advance', 3.0: 'Not an advance', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIIMAG1_W119,"AIIMAG1_W119. Artificial intelligence (AI) can be used to produce visual images from keywords a person types into the system. It can be used to produce complex, artistic images. How much have you heard or read about using AI to produce visual images from k",float64,4,5511,50.08,"{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}",99.0=Refused
AIIMAG2_W119,AIIMAG2_W119. How much of an advance for the visual arts is using artificial intelligence (AI) to produce visual images from keywords?,float64,5,5511,50.08,"{1.0: 'A major advance', 2.0: 'A minor advance', 3.0: 'Not an advance', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
EMPLSIT_W119,EMPLSIT_W119. What is your current work situation?,float64,6,0,0.0,"{1.0: 'Work full time for pay', 2.0: 'Work part time for pay', 3.0: 'Not currently working for pay', 4.0: 'Unable to work due to a disability', 5.0: 'Retired', 99.0: 'Refused'}",99.0=Refused
JOBAPPYR_W119,JOBAPPYR_W119. Have you applied for a job at any point in the past 12 months?,float64,3,0,0.0,"{1.0: 'Yes, I have', 2.0: 'No, I have not', 99.0: 'Refused'}",99.0=Refused
INDUSTRYCOMBO_W119,Combined categories in INDUSTRY with backcodes,float64,12,4507,40.96,"{1.0: 'Hospitality, service, arts, entertainment and recreation', 2.0: 'Health care and social assistance', 3.0: 'Manufacturing, mining, construction, agriculture, forestry, fishing and hunting', 4.0:...",99.0=Refused
AIWRK2_a_W119,"AIWRK2_a_W119. Over the next 20 years, how much impact do you think the use of artificial intelligence (AI) in the workplace will have on…    Workers generally",float64,5,0,0.0,"{1.0: 'A major impact', 2.0: 'A minor impact', 3.0: 'No impact', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRK2_b_W119,"AIWRK2_b_W119. Over the next 20 years, how much impact do you think the use of artificial intelligence (AI) in the workplace will have on…    You, personally",float64,5,0,0.0,"{1.0: 'A major impact', 2.0: 'A minor impact', 3.0: 'No impact', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRK2_c_W119,"AIWRK2_c_W119. Over the next 20 years, how much impact do you think the use of artificial intelligence (AI) in the workplace will have on…    The U.S. economy",float64,5,0,0.0,"{1.0: 'A major impact', 2.0: 'A minor impact', 3.0: 'No impact', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRK3_a_W119,"AIWRK3_a_W119. Thinking about the use of artificial intelligence (AI) in the workplace over the next 20 years, what do you think the outcome will be for…    Workers generally",float64,5,0,0.0,"{1.0: 'AI will help more than it hurts', 2.0: 'AI will equally help and hurt', 3.0: 'AI will hurt more than it helps', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRK3_b_W119,"AIWRK3_b_W119. Thinking about the use of artificial intelligence (AI) in the workplace over the next 20 years, what do you think the outcome will be for…    You, personally",float64,5,0,0.0,"{1.0: 'AI will help more than it hurts', 2.0: 'AI will equally help and hurt', 3.0: 'AI will hurt more than it helps', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRK3_c_W119,"AIWRK3_c_W119. Thinking about the use of artificial intelligence (AI) in the workplace over the next 20 years, what do you think the outcome will be for…    The U.S. economy",float64,5,0,0.0,"{1.0: 'AI will help more than it hurts', 2.0: 'AI will equally help and hurt', 3.0: 'AI will hurt more than it helps', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKH1_W119,AIWRKH1_W119. Thinking now about how AI can be used in hiring… How much have you heard or read about artificial intelligence (AI) being used by employers in the hiring process?,float64,4,0,0.0,"{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}",99.0=Refused
AIWRKH2_a_W119,AIWRKH2_a_W119. Would you favor or oppose employers’ use of artificial intelligence (AI) for…    Reviewing job applications,float64,4,0,0.0,"{1.0: 'Favor', 2.0: 'Oppose', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKH2_b_W119,AIWRKH2_b_W119. Would you favor or oppose employers’ use of artificial intelligence (AI) for…    Making a final hiring decision,float64,4,0,0.0,"{1.0: 'Favor', 2.0: 'Oppose', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKH3_a_W119,"AIWRKH3_a_W119. Do you think artificial intelligence (AI) would do better, worse or about the same as humans at…    Identifying job applicants who are well-qualified",float64,5,0,0.0,"{1.0: 'AI would do a better job than humans', 2.0: 'AI would do a worse job than humans', 3.0: 'AI would do about the same job as humans', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKH3_b_W119,"AIWRKH3_b_W119. Do you think artificial intelligence (AI) would do better, worse or about the same as humans at…    Treating all job applicants in the same way",float64,5,0,0.0,"{1.0: 'AI would do a better job than humans', 2.0: 'AI would do a worse job than humans', 3.0: 'AI would do about the same job as humans', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKH3_c_W119,"AIWRKH3_c_W119. Do you think artificial intelligence (AI) would do better, worse or about the same as humans at…    Seeing potential in job applicants who may not perfectly fit the job description",float64,5,0,0.0,"{1.0: 'AI would do a better job than humans', 2.0: 'AI would do a worse job than humans', 3.0: 'AI would do about the same job as humans', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKH3_d_W119,"AIWRKH3_d_W119. Do you think artificial intelligence (AI) would do better, worse or about the same as humans at…    Figuring out which job applicants would work well with their coworkers",float64,5,0,0.0,"{1.0: 'AI would do a better job than humans', 2.0: 'AI would do a worse job than humans', 3.0: 'AI would do about the same job as humans', 9.0: 'Not sure', 99.0: 'Refused'}",9.0=Not sure; 99.0=Refused
AIWRKH4_W119,"AIWRKH4_W119. If you were looking for work, would you want to apply for a job with an employer that uses artificial intelligence (AI) to help make hiring decisions?",float64,3,0,0.0,"{1.0: 'Yes, I would', 2.0: 'No, I would not', 99.0: 'Refused'}",99.0=Refused
AIWRKH5Y_OE1_W119,AIWRKH5Y_W119_OE1. What is the main reason you would want to apply for a job with an employer that uses artificial intelligence (AI) to help make hiring decisions? First theme present,float64,13,7250,65.89,"{1.0: 'AI would be objective, fair, have little to no bias, treat people equally', 2.0: 'They personally would benefit if AI were used in the process', 3.0: 'AI isn’t going to stop them from applying,...",99.0=Don’t know/No answer
AIWRKH5Y_OE2_W119,AIWRKH5Y_W119_OE2. What is the main reason you would want to apply for a job with an employer that uses artificial intelligence (AI) to help make hiring decisions? Second theme present,float64,11,10731,97.52,"{1.0: 'AI would be objective, fair, have little to no bias, treat people equally', 2.0: 'They personally would benefit if AI were used in the process', 3.0: 'AI isn’t going to stop them from applying,...",99.0=Don’t know/No answer
AIWRKH5Y_OE3_W119,AIWRKH5Y_W119_OE3. What is the main reason you would want to apply for a job with an employer that uses artificial intelligence (AI) to help make hiring decisions? Third theme present,float64,6,10985,99.83,"{1.0: 'AI would be objective, fair, have little to no bias, treat people equally', 2.0: 'They personally would benefit if AI were used in the process', 3.0: 'AI isn’t going to stop them from applying,...",99.0=Don’t know/No answer
AIWRKH5Y_REFUSED_W119,AIWRKH5Y_W119 Refused,float64,3,0,0.0,"{0.0: 'Not asked', 1.0: 'Did not refuse', 99.0: 'Refused'}",99.0=Refused
AIWRKH5N_OE1_W119,AIWRKH5N_W119_OE1. What is the main reason you would not want to apply for a job with an employer that uses artificial intelligence (AI) to help make hiring decisions? First theme present.,float64,12,3987,36.23,"{1.0: 'AI would miss the human factor hiring needs', 3.0: 'Potential for bias, unfair treatment, discrimination', 4.0: 'AI makes mistakes, screens out qualified candidates, has design flaws', 5.0: 'AI...",99.0=Don’t know/No answer
AIWRKH5N_OE2_W119,AIWRKH5N_W119_OE2. What is the main reason you would not want to apply for a job with an employer that uses artificial intelligence (AI) to help make hiring decisions? Second theme present,float64,10,10234,93.0,"{1.0: 'AI would miss the human factor hiring needs', 3.0: 'Potential for bias, unfair treatment, discrimination', 4.0: 'AI makes mistakes, screens out qualified candidates, has design flaws', 5.0: 'AI...",99.0=Don’t know/No answer
